Name,Status,Position,Nation,Age,Rating,Playstyle,Market Value,Window Signed,Loaned/Transferred From,Loan Length,Contracted Team,PositionOrder
Claudio Echeverri,Ajax,AMF,Argentina,19.0,74.0,Creative Playmaker,28875000,Summer,,,Ajax,3.4
Justin Kluivert,Ajax,AMF,Netherlands,26.0,76.0,Hole Player,26437500,Winter,,,Ajax,3.4
C. Summerville,Ajax,LWF,Netherlands,24.0,75.0,Prolific Winger,23500000,Summer,,,Ajax,4.1
Mathys Tel,Ajax,LWF,France,20.0,75.0,Prolific Winger,27000000,Summer,,,Ajax,4.1
Andreas Skov Olsen,Ajax,RWF,Denmark,26.0,76.0,Prolific Winger,25875000,Summer,,,Ajax,4.2
Lee Kang-In,Ajax,RWF,Korea Republic,24.0,77.0,Creative Playmaker,33125000,Summer,,,Ajax,4.2
Malcom,Ajax,RWF,Brazil,28.0,78.0,Prolific Winger,33000000,Summer,,,Ajax,4.2
Facundo Farías,Ajax,CF,Argentina,23.0,72.0,Goal Poacher,15312500,Summer,,,Ajax,4.4
C. Kostoulas,Ajax,CF,Greece,18.0,72.0,Goal Poacher,24062500,Summer,,,Ajax,4.4
Emanuel Emegha,Ajax,CF,Netherlands,22.0,74.0,Deep-Lying Forward,21875000,Summer,,,Ajax,4.4
Matthieu Epolo,Anderlecht,GK,Belgium,20.0,72.0,Offensive Goalkeeper,15312500,Summer,,,Anderlecht,1.0
Ricardo Velho,Anderlecht,GK,Portugal,27.0,76.0,Offensive Goalkeeper,29250000,,,,Anderlecht,1.0
Alex Meret,Anderlecht,GK,Italy,28.0,77.0,Defensive Goalkeeper,27500000,,,,Anderlecht,1.0
Zeno Debast,Anderlecht,CB,Belgium,22.0,74.0,Extra Frontman,20562500,Summer,,,Anderlecht,2.0
Wesley Fofana,Anderlecht,CB,France,25.0,76.0,Build Up,25875000,,,,Anderlecht,2.0
Sebastiaan Bornauw,Anderlecht,CB,Belgium,26.0,76.0,Build Up,25312500,Winter,,,Anderlecht,2.0
Matthijs de Ligt,Anderlecht,CB,Netherlands,26.0,78.0,Build Up,32312500,Summer,,,Anderlecht,2.0
Mario Hermoso,Anderlecht,CB,Spain,30.0,78.0,Build Up,30250000,Summer,,,Anderlecht,2.0
Lucas Hernández,Anderlecht,CB,France,29.0,79.0,Extra Frontman,35250000,Summer,,,Anderlecht,2.0
Welington,Anderlecht,LB,Brazil,24.0,73.0,Offensive Full-back,16125000,Winter,,,Anderlecht,2.1
Caio Henrique,Anderlecht,LB,Brazil,28.0,76.0,Offensive Full-back,25312500,Winter,,,Anderlecht,2.1
Aaron Wan-Bissaka,Anderlecht,RB,England,28.0,76.0,Defensive Full-back,25312500,,,,Anderlecht,2.2
Diogo Dalot,Anderlecht,RB,Portugal,26.0,77.0,Offensive Full-back,28125000,,,,Anderlecht,2.2
Noah Mbamba,Anderlecht,DMF,Belgium,20.0,71.0,Anchor Man,12500000,,,,Anderlecht,3.0
Boubakary Soumaré,Anderlecht,DMF,France,26.0,75.0,Anchor Man,22000000,,,,Anderlecht,3.0
Nicolas Raskin,Anderlecht,CMF,Belgium,24.0,75.0,Orchestrator,23000000,Winter,,,Anderlecht,3.1
Teddy Teuma,Anderlecht,CMF,Malta,32.0,75.0,Hole Player,14500000,Summer,,,Anderlecht,3.1
Youri Tielemans,Anderlecht,CMF,Belgium,28.0,77.0,Box-to-Box,29375000,Summer,,,Anderlecht,3.1
Joelinton,Anderlecht,CMF,Brazil,29.0,79.0,Box-to-Box,38250000,,,,Anderlecht,3.1
Malick Fofana,Anderlecht,LMF,Belgium,20.0,74.0,Hole Player,21875000,,,,Anderlecht,3.2
Jay Mbalanda,Anderlecht,RMF,Belgium,18.0,62.0,Cross Specialist,5000000,Winter,,,Anderlecht,3.3
Alexis Saelemaekers,Anderlecht,RMF,Belgium,26.0,76.0,Roaming Flank,24187500,Winter,,,Anderlecht,3.3
Óscar Marcos,Anderlecht,AMF,Spain,19.0,66.0,Creative Playmaker,5000000,Winter,,,Anderlecht,3.4
Marco Asensio,Anderlecht,AMF,Spain,29.0,78.0,Creative Playmaker,40562500,Summer,,,Anderlecht,3.4
Charles De Ketelaere,Anderlecht,SS,Belgium,24.0,78.0,Creative Playmaker,33000000,,,,Anderlecht,4.3
Francesco Camarda,Anderlecht,CF,Italy,17.0,65.0,Deep-Lying Forward,5000000,Summer,,,Anderlecht,4.4
Endrick (CF),Anderlecht,CF,Brazil,19.0,76.0,Deep-Lying Forward,39375000,Summer,,,Anderlecht,4.4
Thierno Barry,Anderlecht,CF,France,23.0,76.0,Target Man,28125000,Summer,,,Anderlecht,4.4
Romelu Lukaku,Anderlecht,CF,Belgium,32.0,79.0,Fox in the Box,28500000,Winter,,,Anderlecht,4.4
Erling Haaland,Anderlecht,CF,Norway,25.0,84.0,Fox in the Box,144500000,Summer,,,Anderlecht,4.4
Abdoul Koné,Arsenal,CB,France,20.0,67.0,Build Up,5000000,Summer,,,Arsenal,2.0
Marlon Torres,Arsenal,CB,Colombia,29.0,72.0,Build Up,13750000,Summer,,,Arsenal,2.0
Trevoh Chalobah,Arsenal,CB,England,26.0,76.0,Build Up,26437500,,,,Arsenal,2.0
Gonçalo Inácio,Arsenal,CB,Portugal,24.0,77.0,Build Up,32500000,Summer,,,Arsenal,2.0
Ulisses Garcia,Arsenal,LB,Switzerland,29.0,73.0,Offensive Full-back,15750000,,,,Arsenal,2.1
Jordan Zemura,Arsenal,LB,Zimbabwe,26.0,73.0,Full-back Finisher,15750000,Summer,,,Arsenal,2.1
Tomás Belmonte,Arsenal,DMF,Argentina,27.0,74.0,Orchestrator,18812500,,,,Arsenal,3.0
Sean Longstaff,Arsenal,CMF,England,28.0,75.0,Box-to-Box,22500000,,,,Arsenal,3.1
Curtis Jones,Arsenal,CMF,England,24.0,76.0,Hole Player,25875000,Summer,,,Arsenal,3.1
Ruben Vargas,Arsenal,LMF,Switzerland,27.0,73.0,Roaming Flank,15750000,,,,Arsenal,3.2
Rodrigo Gomes,Arsenal,RMF,Portugal,22.0,72.0,Box-to-Box,14062500,,,,Arsenal,3.3
Emanuel Reynoso,Arsenal,AMF,Argentina,30.0,73.0,Creative Playmaker,15750000,,,,Arsenal,3.4
Mikey Moore,Arsenal,LWF,England,18.0,70.0,Prolific Winger,14600000,Summer,,,Arsenal,4.1
Brian Rodríguez,Arsenal,LWF,Uruguay,25.0,73.0,Prolific Winger,16875000,,,,Arsenal,4.1
Sheraldo Becker,Arsenal,LWF,Suriname,30.0,75.0,Roaming Flank,22000000,Summer,,,Arsenal,4.1
João Félix,Arsenal,LWF,Portugal,26.0,78.0,Creative Playmaker,38500000,Summer,,,Arsenal,4.1
Dodi Lukébakio,Arsenal,RWF,Belgium,28.0,79.0,Prolific Winger,42000000,,,,Arsenal,4.2
Nicolás Benegas,Arsenal,CF,Argentina,29.0,72.0,Deep-Lying Forward,14687500,,,,Arsenal,4.4
Carlos Martín,Arsenal,CF,Spain,23.0,72.0,Goal Poacher,15312500,,,,Arsenal,4.4
Eddie Nketiah,Arsenal,CF,England,26.0,76.0,Fox in the Box,28125000,,,,Arsenal,4.4
David Soria,Aston Villa,GK,Spain,32.0,78.0,Defensive Goalkeeper,22000000,,,,Aston Villa,1.0
Thibaut Courtois,Aston Villa,GK,Belgium,33.0,83.0,Defensive Goalkeeper,67500000,,,,Aston Villa,1.0
Jerry St. Juste,Aston Villa,CB,Netherlands,29.0,75.0,Extra Frontman,22500000,,,,Aston Villa,2.0
Max Kilman,Aston Villa,CB,England,28.0,77.0,Build Up,29375000,Summer,,,Aston Villa,2.0
Fikayo Tomori,Aston Villa,CB,England,28.0,78.0,Build Up,32312500,,,,Aston Villa,2.0
Ben Davies,Aston Villa,LB,Wales,32.0,75.0,Defensive Full-back,12500000,,,,Aston Villa,2.1
Lewis Hall,Aston Villa,LB,England,21.0,75.0,Offensive Full-back,23500000,,,,Aston Villa,2.1
Ben Pearson,Aston Villa,DMF,England,30.0,71.0,The Destroyer,10000000,Summer,,,Aston Villa,3.0
Lewis Travis,Aston Villa,DMF,England,28.0,71.0,The Destroyer,10500000,Winter,,,Aston Villa,3.0
Patrick Berg,Aston Villa,DMF,Norway,28.0,72.0,Anchor Man,13437500,Summer,,,Aston Villa,3.0
Joshua Kimmich,Aston Villa,DMF,Germany,30.0,83.0,Orchestrator,105000000,Summer,,,Aston Villa,3.0
Julian Brandt,Aston Villa,AMF,Germany,29.0,78.0,Creative Playmaker,31625000,Summer,,,Aston Villa,3.4
Jamal Musiala,Aston Villa,AMF,Germany,22.0,82.0,Creative Playmaker,102000000,,,,Aston Villa,3.4
Eliesse Ben Seghir,Aston Villa,LWF,Morocco,20.0,74.0,Creative Playmaker,23187500,,,,Aston Villa,4.1
Jack Grealish,Aston Villa,LWF,England,30.0,77.0,Creative Playmaker,27500000,Summer,,,Aston Villa,4.1
Jérémy Doku,Aston Villa,LWF,Belgium,23.0,79.0,Prolific Winger,46500000,,,,Aston Villa,4.1
Ademola Lookman,Aston Villa,SS,Nigeria,28.0,78.0,Hole Player,35750000,,,,Aston Villa,4.3
Davian Kimbrough,Aston Villa,CF,Mexico,15.0,60.0,Deep-Lying Forward,5000000,Summer,,,Aston Villa,4.4
David Datro Fofana,Aston Villa,CF,Côte d'Ivoire,22.0,74.0,Goal Poacher,26687500,Summer,,,Aston Villa,4.4
Odsonne Édouard,Aston Villa,CF,France,27.0,75.0,Goal Poacher,24000000,Summer,,,Aston Villa,4.4
Isaac,Aston Villa,CF,Spain,25.0,75.0,Goal Poacher,24000000,,,,Aston Villa,4.4
Ivan Toney,Aston Villa,CF,England,29.0,79.0,Target Man,37500000,Summer,,,Aston Villa,4.4
Luigi Sepe,Atalanta,GK,Italy,34.0,73.0,Defensive Goalkeeper,4125000,,,,Atalanta,1.0
Ivan Provedel,Atalanta,GK,Italy,31.0,77.0,Offensive Goalkeeper,21250000,,,,Atalanta,1.0
Bafodé Diakité,Atalanta,CB,France,24.0,76.0,The Destroyer,25875000,,,,Atalanta,2.0
Pierre Kalulu,Atalanta,CB,France,25.0,77.0,Build Up,29375000,,,,Atalanta,2.0
Virgil van Dijk,Atalanta,CB,Netherlands,34.0,83.0,Build Up,58125000,,,,Atalanta,2.0
Andrea Cambiaso,Atalanta,LB,Italy,25.0,75.0,Offensive Full-back,21500000,,,,Atalanta,2.1
Matteo Ruggeri,Atalanta,LB,Italy,23.0,75.0,Offensive Full-back,22500000,,,,Atalanta,2.1
Stefan Posch,Atalanta,RB,Austria,28.0,75.0,Defensive Full-back,20500000,Summer,,,Atalanta,2.2
Manuel Lazzari,Atalanta,RB,Italy,32.0,76.0,Offensive Full-back,15750000,,,,Atalanta,2.2
Lucas Torreira,Atalanta,DMF,Uruguay,29.0,76.0,Anchor Man,25875000,Summer,,,Atalanta,3.0
Bryan Cristante,Atalanta,DMF,Italy,30.0,76.0,The Destroyer,24187500,,,,Atalanta,3.0
Maxence Caqueret,Atalanta,CMF,France,25.0,74.0,Orchestrator,19250000,,,,Atalanta,3.1
Dani Ceballos,Atalanta,CMF,Spain,29.0,75.0,Orchestrator,22500000,Summer,,,Atalanta,3.1
Fabio Miretti,Atalanta,CMF,Italy,22.0,75.0,Box-to-Box,24000000,,,,Atalanta,3.1
Henrikh Mkhitaryan,Atalanta,CMF,Armenia,36.0,77.0,Box-to-Box,3750000,Summer,,,Atalanta,3.1
Robin Gosens,Atalanta,LMF,Germany,31.0,75.0,Box-to-Box,16500000,,,,Atalanta,3.2
Francisco Conceição,Atalanta,RMF,Portugal,23.0,76.0,Roaming Flank,25312500,,,,Atalanta,3.3
Otávio,Atalanta,RMF,Portugal,30.0,77.0,Creative Playmaker,26875000,Summer,,,Atalanta,3.3
Jarrod Bowen,Atalanta,RMF,England,29.0,78.0,Roaming Flank,33687500,,,,Atalanta,3.3
Isco,Atalanta,AMF,Spain,33.0,79.0,Creative Playmaker,23250000,Summer,,,Atalanta,3.4
Juan Cruz,Atalanta,LWF,Spain,25.0,73.0,Prolific Winger,16875000,,,,Atalanta,4.1
Stephan El Shaarawy,Atalanta,LWF,Italy,33.0,75.0,Prolific Winger,13000000,,,,Atalanta,4.1
Ian Subiabre,Atalanta,RWF,Argentina,18.0,70.0,Roaming Flank,14600000,,,,Atalanta,4.2
Lionel Messi,Atalanta,RWF,Argentina,38.0,82.0,Creative Playmaker,30000000,Summer,,,Atalanta,4.2
Lamine Yamal,Atalanta,RWF,Spain,18.0,83.0,Roaming Flank,176250000,,,,Atalanta,4.2
Kyogo Furuhashi,Atalanta,CF,Japan,30.0,75.0,Goal Poacher,23000000,Summer,,,Atalanta,4.4
Vedat Muriqi,Atalanta,CF,Kosovo,31.0,76.0,Target Man,21937500,,,,Atalanta,4.4
Fran González,Athletico Madrid,GK,Spain,20.0,70.0,Offensive Goalkeeper,8800000,Summer,,,Athletico Madrid,1.0
Andries Noppert,Athletico Madrid,GK,Netherlands,31.0,72.0,Offensive Goalkeeper,8125000,Winter,,,Athletico Madrid,1.0
Youri Baas,Athletico Madrid,CB,Netherlands,22.0,71.0,Build Up,11500000,Summer,,,Athletico Madrid,2.0
Juan Morán,Athletico Madrid,LB,Argentina,19.0,70.0,Defensive Full-back,12400000,,,,Athletico Madrid,2.1
Adrià Pedrosa,Athletico Madrid,LB,Spain,27.0,74.0,Offensive Full-back,18375000,Summer,,,Athletico Madrid,2.1
Alejandro Balde,Athletico Madrid,LB,Spain,22.0,79.0,Offensive Full-back,45000000,Summer,,,Athletico Madrid,2.1
Emanuel Coronel,Athletico Madrid,RB,Argentina,28.0,72.0,Defensive Full-back,13125000,,,,Athletico Madrid,2.2
Marvin Park,Athletico Madrid,RB,Spain,25.0,72.0,Offensive Full-back,13125000,Summer,,,Athletico Madrid,2.2
Dodô,Athletico Madrid,RB,Brazil,27.0,75.0,Offensive Full-back,22000000,Summer,,,Athletico Madrid,2.2
Matteo Darmian,Athletico Madrid,RB,Italy,36.0,76.0,Defensive Full-back,2000000,Summer,,,Athletico Madrid,2.2
Kristjan Asllani,Athletico Madrid,DMF,Albania,23.0,73.0,Orchestrator,16875000,,,,Athletico Madrid,3.0
Lucas Menossi,Athletico Madrid,CMF,Argentina,33.0,72.0,Orchestrator,7500000,Summer,,,Athletico Madrid,3.1
Simón Rivero,Athletico Madrid,CMF,Argentina,22.0,72.0,Orchestrator,14687500,Winter,,,Athletico Madrid,3.1
Martin Baturina,Athletico Madrid,CMF,Croatia,22.0,73.0,Orchestrator,17625000,Summer,,,Athletico Madrid,3.1
Lorran,Athletico Madrid,AMF,Brazil,19.0,68.0,Hole Player,6300000,Winter,,,Athletico Madrid,3.4
Portu,Athletico Madrid,AMF,Spain,33.0,73.0,Hole Player,9000000,Summer,,,Athletico Madrid,3.4
Takumi Minamino,Athletico Madrid,AMF,Japan,30.0,75.0,Hole Player,21500000,Summer,,,Athletico Madrid,3.4
Mykhailo Mudryk,Athletico Madrid,LWF,Ukraine,24.0,76.0,Roaming Flank,27000000,Summer,,,Athletico Madrid,4.1
Ángel Correa,Athletico Madrid,RWF,Argentina,30.0,78.0,Roaming Flank,30937500,,,,Athletico Madrid,4.2
Gianluca Caprari,Athletico Madrid,SS,Italy,32.0,76.0,Deep-Lying Forward,17437500,Summer,,,Athletico Madrid,4.3
Georges Mikautadze,Athletico Madrid,CF,Georgia,25.0,74.0,Goal Poacher,20562500,Summer,,,Athletico Madrid,4.4
Gorka Guruzeta,Athletico Madrid,CF,Spain,29.0,77.0,Deep-Lying Forward,31250000,Winter,,,Athletico Madrid,4.4
Benjamin Šeško,Athletico Madrid,CF,Slovenia,22.0,79.0,Goal Poacher,39750000,Summer,,,Athletico Madrid,4.4
Francisco Valdés,Atletico Nacional,GK,Chile,19.0,65.0,Offensive Goalkeeper,5000000,,,,Atletico Nacional,1.0
Geovanni Banguera,Atletico Nacional,GK,Colombia,30.0,72.0,Offensive Goalkeeper,12187500,,,,Atletico Nacional,1.0
Anderson Angulo,Atletico Nacional,CB,Colombia,29.0,72.0,The Destroyer,13750000,,,,Atletico Nacional,2.0
Felipe Aguilar,Atletico Nacional,CB,Colombia,32.0,72.0,Build Up,8750000,,,,Atletico Nacional,2.0
Yerry Mina,Atletico Nacional,CB,Colombia,31.0,75.0,Extra Frontman,17500000,,,,Atletico Nacional,2.0
Matthieu Udol,Atletico Nacional,LB,France,29.0,73.0,Full-back Finisher,15750000,,,,Atletico Nacional,2.1
Dudu,Atletico Nacional,RB,Brazil,28.0,72.0,Offensive Full-back,13125000,,,,Atletico Nacional,2.2
José Caicedo,Atletico Nacional,DMF,Colombia,23.0,72.0,The Destroyer,14062500,Summer,,,Atletico Nacional,3.0
Hayden Hackney,Atletico Nacional,DMF,England,23.0,73.0,Anchor Man,16875000,,,,Atletico Nacional,3.0
Kevin Castaño,Atletico Nacional,DMF,Colombia,25.0,75.0,Box-to-Box,22000000,Summer,,,Atletico Nacional,3.0
Bruno Guimarães,Atletico Nacional,DMF,Brazil,28.0,79.0,Orchestrator,40500000,Summer,,,Atletico Nacional,3.0
Luan Gadegbeku,Atletico Nacional,CMF,France,18.0,65.0,Orchestrator,5000000,,,,Atletico Nacional,3.1
Rasmus Falk,Atletico Nacional,CMF,Denmark,33.0,73.0,Orchestrator,9000000,,,,Atletico Nacional,3.1
Richard Ríos,Atletico Nacional,CMF,Colombia,25.0,74.0,Box-to-Box,19250000,Summer,,,Atletico Nacional,3.1
Rodrigo Zalazar,Atletico Nacional,CMF,Uruguay,26.0,75.0,Box-to-Box,22500000,,,,Atletico Nacional,3.1
Federico Valverde,Atletico Nacional,CMF,Uruguay,27.0,82.0,Box-to-Box,88500000,Summer,,,Atletico Nacional,3.1
Rodrigo Ribeiro,Atletico Nacional,AMF,Portugal,19.0,65.0,Hole Player,5000000,,,,Atletico Nacional,3.4
Miguel Monsalve,Atletico Nacional,AMF,Colombia,21.0,66.0,Creative Playmaker,5000000,Summer,,,Atletico Nacional,3.4
Juan Pérez (AMF),Atletico Nacional,AMF,Colombia,21.0,70.0,Creative Playmaker,8600000,Summer,,,Atletico Nacional,3.4
A. Castillo Manyoma,Atletico Nacional,AMF,Colombia,22.0,72.0,Hole Player,16875000,Summer,,,Atletico Nacional,3.4
Jorge Carrascal,Atletico Nacional,AMF,Colombia,27.0,73.0,Hole Player,16500000,Summer,,,Atletico Nacional,3.4
Guilherme Bissoli,Atletico Nacional,CF,Brazil,27.0,72.0,Fox in the Box,14687500,,,,Atletico Nacional,4.4
Dor Turgeman,Atletico Nacional,CF,Israel,22.0,73.0,Goal Poacher,21375000,Summer,,,Atletico Nacional,4.4
Luis Muriel,Atletico Nacional,CF,Colombia,34.0,74.0,Goal Poacher,7000000,Summer,,,Atletico Nacional,4.4
Enes Ünal,Atletico Nacional,CF,Türkiye,28.0,76.0,Fox in the Box,27562500,,,,Atletico Nacional,4.4
Andriy Lunin,Barcelona,GK,Ukraine,26.0,78.0,Offensive Goalkeeper,29562500,Summer,,,Barcelona,1.0
Álvaro Vallés,Barcelona,GK,Spain,28.0,79.0,Offensive Goalkeeper,33000000,Summer,,,Barcelona,1.0
Malick Thiaw,Barcelona,CB,Germany,24.0,78.0,Build Up,38500000,Summer,,,Barcelona,2.0
Naif Aguerd,Barcelona,CB,Morocco,29.0,78.0,Build Up,35062500,Summer,,,Barcelona,2.0
Cristhian Mosquera,Barcelona,CB,Spain,21.0,78.0,The Destroyer,34375000,,,,Barcelona,2.0
Willian Pacho,Barcelona,CB,Ecuador,24.0,79.0,The Destroyer,36000000,Summer,,,Barcelona,2.0
Mathías Olivera,Barcelona,LB,Uruguay,28.0,76.0,Defensive Full-back,24750000,,,,Barcelona,2.1
José Gayà,Barcelona,LB,Spain,30.0,78.0,Offensive Full-back,32312500,,,,Barcelona,2.1
Hector Fort,Barcelona,RB,Spain,19.0,74.0,Offensive Full-back,31937500,Summer,,,Barcelona,2.2
Lutsharel Geertruida,Barcelona,RB,Netherlands,25.0,76.0,Defensive Full-back,24187500,,,,Barcelona,2.2
João Cancelo,Barcelona,RB,Portugal,31.0,78.0,Full-back Finisher,23375000,Summer,,,Barcelona,2.2
Mohamed Camara,Barcelona,DMF,Mali,25.0,75.0,The Destroyer,22000000,,,,Barcelona,3.0
Denis Zakaria,Barcelona,DMF,Switzerland,29.0,77.0,Anchor Man,31250000,Summer,Aston Villa,Summer,Barcelona,3.0
Pablo Barrios,Barcelona,CMF,Spain,22.0,77.0,Box-to-Box,30625000,Summer,,,Barcelona,3.1
Warren Zaïre-Emery,Barcelona,CMF,France,19.0,77.0,Box-to-Box,44375000,Summer,,,Barcelona,3.1
Frenkie de Jong,Barcelona,CMF,Netherlands,28.0,81.0,Orchestrator,68750000,Summer,,,Barcelona,3.1
Thiago Almada,Barcelona,AMF,Argentina,24.0,77.0,Creative Playmaker,29375000,Summer,,,Barcelona,3.4
Arda Güler,Barcelona,AMF,Türkiye,20.0,77.0,Classic No. 10,33750000,,,,Barcelona,3.4
Florian Wirtz,Barcelona,AMF,Germany,22.0,81.0,Hole Player,80000000,,,,Barcelona,3.4
Rio Ngumoha,Barcelona,LWF,England,17.0,66.0,Prolific Winger,5400000,,,,Barcelona,4.1
Franco Mastantuono,Barcelona,RWF,Argentina,18.0,76.0,Creative Playmaker,42750000,Summer,,,Barcelona,4.2
Francisco Trincão,Barcelona,RWF,Portugal,26.0,78.0,Prolific Winger,32312500,,,,Barcelona,4.2
Kenan Yıldız,Barcelona,SS,Türkiye,20.0,76.0,Hole Player,30375000,Summer,,,Barcelona,4.3
George Ilenikhena,Barcelona,CF,France,19.0,72.0,Goal Poacher,21562500,Summer,,,Barcelona,4.4
Albert Guðmundsson,Barcelona,CF,Iceland,28.0,76.0,Goal Poacher,27000000,,,,Barcelona,4.4
Mikel Oyarzabal,Barcelona,CF,Spain,28.0,78.0,Deep-Lying Forward,34375000,Winter,,,Barcelona,4.4
Evanilson,Barcelona,CF,Brazil,26.0,78.0,Fox in the Box,37125000,,,,Barcelona,4.4
Jonathan David,Barcelona,CF,Canada,25.0,79.0,Goal Poacher,43500000,,,,Barcelona,4.4
Bingourou Kamara,Benfica,GK,Senegal,29.0,72.0,Offensive Goalkeeper,12812500,,,,Benfica,1.0
Edoardo Goldaniga,Benfica,CB,Italy,32.0,73.0,The Destroyer,10500000,,,,Benfica,2.0
Juan Rodríguez,Benfica,CB,Argentina,31.0,75.0,Build Up,17500000,,,,Benfica,2.0
Léo Derik,Benfica,LB,Brazil,20.0,65.0,Offensive Full-back,5000000,,,,Benfica,2.1
Miguel Maga,Benfica,RB,Portugal,23.0,72.0,Offensive Full-back,13750000,,,,Benfica,2.2
Nicolás Acevedo,Benfica,DMF,Uruguay,26.0,72.0,Orchestrator,13437500,,,,Benfica,3.0
Yago Felipe,Benfica,CMF,Brazil,30.0,72.0,Box-to-Box,13125000,,,,Benfica,3.1
Ramón Sosa,Benfica,LMF,Paraguay,26.0,76.0,Hole Player,24187500,,,,Benfica,3.2
Randall Leal,Benfica,RMF,Costa Rica,28.0,72.0,Roaming Flank,13125000,,,,Benfica,3.3
David da Costa,Benfica,AMF,Portugal,24.0,73.0,Creative Playmaker,16875000,,,,Benfica,3.4
Bruno Fernandes,Benfica,AMF,Portugal,31.0,81.0,Hole Player,61250000,,,,Benfica,3.4
Vicente Cárcamo,Benfica,SS,Chile,20.0,65.0,Creative Playmaker,5000000,,,,Benfica,4.3
Eseosa Sule,Benfica,CF,Scotland,19.0,65.0,Goal Poacher,5000000,,,,Benfica,4.4
Vítinha,Benfica,CF,Portugal,25.0,72.0,Goal Poacher,14687500,,,,Benfica,4.4
Onuralp Çevikkan,Besiktas,GK,Türkiye,19.0,68.0,Offensive Goalkeeper,6000000,Winter,,,Besiktas,1.0
Marco Carnesecchi,Besiktas,GK,Italy,25.0,77.0,Offensive Goalkeeper,26875000,Summer,,,Besiktas,1.0
Yusuf Akçiçek,Besiktas,CB,Türkiye,19.0,71.0,Build Up,16250000,Summer,,,Besiktas,2.0
Andrew Omobamidele,Besiktas,CB,Republic of Ireland,23.0,72.0,Build Up,14375000,Summer,,,Besiktas,2.0
Juan Portillo,Besiktas,CB,Argentina,25.0,75.0,The Destroyer,22500000,Summer,,,Besiktas,2.0
Philipp Lienhart,Besiktas,CB,Austria,29.0,77.0,Build Up,29375000,,,,Besiktas,2.0
MT,Besiktas,LB,Brazil,24.0,74.0,Offensive Full-back,18812500,Summer,,,Besiktas,2.1
Ferdi Kadıoğlu,Besiktas,LB,Türkiye,26.0,75.0,Offensive Full-back,22000000,Winter,,,Besiktas,2.1
Zeki Çelik,Besiktas,RB,Türkiye,28.0,75.0,Offensive Full-back,21500000,Winter,,,Besiktas,2.2
Thierry Correia,Besiktas,RB,Portugal,26.0,75.0,Defensive Full-back,21500000,Summer,,,Besiktas,2.2
İsmail Yüksek,Besiktas,DMF,Türkiye,26.0,74.0,Anchor Man,18812500,Winter,,,Besiktas,3.0
Felix Nmecha,Besiktas,DMF,Germany,25.0,76.0,Anchor Man,24750000,Summer,,,Besiktas,3.0
Matteo Pessina,Besiktas,CMF,Italy,28.0,75.0,Hole Player,22500000,,,,Besiktas,3.1
Hugo Larsson,Besiktas,CMF,Sweden,21.0,76.0,Box-to-Box,27562500,Summer,,,Besiktas,3.1
Adrien Rabiot,Besiktas,CMF,France,30.0,79.0,Box-to-Box,33750000,Winter,,,Besiktas,3.1
Hakan Çalhanoğlu,Besiktas,CMF,Türkiye,31.0,80.0,Orchestrator,45000000,Summer,,,Besiktas,3.1
